,parameter,value
0,mean_Accuracy_TEST,0.9517
1,mean_Accuracy_VALIDATION,0.9333
2,mean_Accuracy_TRAIN,0.9432
3,Run_Time,0:45:43.636707
4,test_ratio,0.15
5,folds,5
6,batch_size,32
7,epochs,600
8,verbose,2
9,shape,"(224, 224, 3)"
10,activation_opt_keys,"['name', 'learning_rate', 'decay', 'beta_1', 'beta_2', 'epsilon', 'amsgrad']"
11,activation_opt_vals,"['Adam', 1e-04, 1e-06, 0.9, 0.999, 1e-07, False]"
12,early_stop_criteria,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7ff60a53c080>
13,covid_path,dataset/covid_dataset.csv
14,covid_image_path,dataset/covid_adjusted/
15,normal_path,dataset/normal_xray_dataset.csv
16,normal_image_path,dataset/normal_dataset/
17,head_count,99
